Department_Code,Department,Indicator,Strategic_Objective,Method,Year,Forecast_Achieved,Gender,Disabled,Education_Level,WaSH_Intervention,Nutrition_Intensity,Results
1001,"Africa Regional Department, DFID Southern Africa",Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Male,No,Primary,N/A,N/A,0
1001,"Africa Regional Department, DFID Southern Africa",Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Female,No,Primary,N/A,N/A,0
1001,"Africa Regional Department, DFID Southern Africa",Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Unknown,No,Primary,N/A,N/A,0
1001,"Africa Regional Department, DFID Southern Africa",Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Total,No,Primary,N/A,N/A,0
1001,"Africa Regional Department, DFID Southern Africa",Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Male,No,Secondary,N/A,N/A,0
1001,"Africa Regional Department, DFID Southern Africa",Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Female,No,Secondary,N/A,N/A,0
1001,"Africa Regional Department, DFID Southern Africa",Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Unknown,No,Secondary,N/A,N/A,0
1001,"Africa Regional Department, DFID Southern Africa",Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Total,No,Secondary,N/A,N/A,0
1001,"Africa Regional Department, DFID Southern Africa",Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Male,No,N/A,All,N/A,223179
1001,"Africa Regional Department, DFID Southern Africa",Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Female,No,N/A,All,N/A,256929
1001,"Africa Regional Department, DFID Southern Africa",Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Unknown,No,N/A,All,N/A,746136.852
1001,"Africa Regional Department, DFID Southern Africa",Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Total,No,N/A,All,N/A,1226244.852
1001,"Africa Regional Department, DFID Southern Africa",Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Male,Yes,N/A,All,N/A,0
1001,"Africa Regional Department, DFID Southern Africa",Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Female,Yes,N/A,All,N/A,0
1001,"Africa Regional Department, DFID Southern Africa",Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Unknown,Yes,N/A,All,N/A,0
1001,"Africa Regional Department, DFID Southern Africa",Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Total,Yes,N/A,All,N/A,0
1001,"Africa Regional Department, DFID Southern Africa",Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Male,No,N/A,Water,N/A,0
1001,"Africa Regional Department, DFID Southern Africa",Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Female,No,N/A,Water,N/A,0
1001,"Africa Regional Department, DFID Southern Africa",Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Unknown,No,N/A,Water,N/A,0
1001,"Africa Regional Department, DFID Southern Africa",Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Total,No,N/A,Water,N/A,0
1001,"Africa Regional Department, DFID Southern Africa",Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Male,No,N/A,Sanitation,N/A,0
1001,"Africa Regional Department, DFID Southern Africa",Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Female,No,N/A,Sanitation,N/A,0
1001,"Africa Regional Department, DFID Southern Africa",Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Unknown,No,N/A,Sanitation,N/A,0
1001,"Africa Regional Department, DFID Southern Africa",Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Total,No,N/A,Sanitation,N/A,0
1001,"Africa Regional Department, DFID Southern Africa","Number of children under 5, women (of childbearing age) and adolescent girls reached by DFID through nutrition related interventions",4.1d,CUMULATIVE,2015/21,Achieved,Male,No,N/A,N/A,All,0
1001,"Africa Regional Department, DFID Southern Africa","Number of children under 5, women (of childbearing age) and adolescent girls reached by DFID through nutrition related interventions",4.1d,CUMULATIVE,2015/21,Achieved,Female,No,N/A,N/A,All,30620
1001,"Africa Regional Department, DFID Southern Africa","Number of children under 5, women (of childbearing age) and adolescent girls reached by DFID through nutrition related interventions",4.1d,CUMULATIVE,2015/21,Achieved,Unknown,No,N/A,N/A,All,177328
1001,"Africa Regional Department, DFID Southern Africa","Number of children under 5, women (of childbearing age) and adolescent girls reached by DFID through nutrition related interventions",4.1d,CUMULATIVE,2015/21,Achieved,Total,No,N/A,N/A,All,207948
1001,"Africa Regional Department, DFID Southern Africa","Number of children under 5, women (of childbearing age) and adolescent girls reached by DFID through nutrition related interventions",4.1d,CUMULATIVE,2015/21,Achieved,Male,Yes,N/A,N/A,All,0
1001,"Africa Regional Department, DFID Southern Africa","Number of children under 5, women (of childbearing age) and adolescent girls reached by DFID through nutrition related interventions",4.1d,CUMULATIVE,2015/21,Achieved,Female,Yes,N/A,N/A,All,0
1001,"Africa Regional Department, DFID Southern Africa","Number of children under 5, women (of childbearing age) and adolescent girls reached by DFID through nutrition related interventions",4.1d,CUMULATIVE,2015/21,Achieved,Unknown,Yes,N/A,N/A,All,0
1001,"Africa Regional Department, DFID Southern Africa","Number of children under 5, women (of childbearing age) and adolescent girls reached by DFID through nutrition related interventions",4.1d,CUMULATIVE,2015/21,Achieved,Total,Yes,N/A,N/A,All,0
1001,"Africa Regional Department, DFID Southern Africa","Number of children under 5, women (of childbearing age) and adolescent girls reached by DFID through nutrition related interventions",4.1d,CUMULATIVE,2015/21,Achieved,Male,No,N/A,N/A,High,0
1001,"Africa Regional Department, DFID Southern Africa","Number of children under 5, women (of childbearing age) and adolescent girls reached by DFID through nutrition related interventions",4.1d,CUMULATIVE,2015/21,Achieved,Female,No,N/A,N/A,High,0
1001,"Africa Regional Department, DFID Southern Africa","Number of children under 5, women (of childbearing age) and adolescent girls reached by DFID through nutrition related interventions",4.1d,CUMULATIVE,2015/21,Achieved,Unknown,No,N/A,N/A,High,149572
1001,"Africa Regional Department, DFID Southern Africa","Number of children under 5, women (of childbearing age) and adolescent girls reached by DFID through nutrition related interventions",4.1d,CUMULATIVE,2015/21,Achieved,Total,No,N/A,N/A,High,149572
1001,"Africa Regional Department, DFID Southern Africa","Number of children under 5, women (of childbearing age) and adolescent girls reached by DFID through nutrition related interventions",4.1d,CUMULATIVE,2015/21,Achieved,Male,No,N/A,N/A,Medium,0
1001,"Africa Regional Department, DFID Southern Africa","Number of children under 5, women (of childbearing age) and adolescent girls reached by DFID through nutrition related interventions",4.1d,CUMULATIVE,2015/21,Achieved,Female,No,N/A,N/A,Medium,0
1001,"Africa Regional Department, DFID Southern Africa","Number of children under 5, women (of childbearing age) and adolescent girls reached by DFID through nutrition related interventions",4.1d,CUMULATIVE,2015/21,Achieved,Unknown,No,N/A,N/A,Medium,0
1001,"Africa Regional Department, DFID Southern Africa","Number of children under 5, women (of childbearing age) and adolescent girls reached by DFID through nutrition related interventions",4.1d,CUMULATIVE,2015/21,Achieved,Total,No,N/A,N/A,Medium,0
1001,"Africa Regional Department, DFID Southern Africa","Number of children under 5, women (of childbearing age) and adolescent girls reached by DFID through nutrition related interventions",4.1d,CUMULATIVE,2015/21,Achieved,Male,No,N/A,N/A,Low,0
1001,"Africa Regional Department, DFID Southern Africa","Number of children under 5, women (of childbearing age) and adolescent girls reached by DFID through nutrition related interventions",4.1d,CUMULATIVE,2015/21,Achieved,Female,No,N/A,N/A,Low,0
1001,"Africa Regional Department, DFID Southern Africa","Number of children under 5, women (of childbearing age) and adolescent girls reached by DFID through nutrition related interventions",4.1d,CUMULATIVE,2015/21,Achieved,Unknown,No,N/A,N/A,Low,24325
1001,"Africa Regional Department, DFID Southern Africa","Number of children under 5, women (of childbearing age) and adolescent girls reached by DFID through nutrition related interventions",4.1d,CUMULATIVE,2015/21,Achieved,Total,No,N/A,N/A,Low,24325
1001,"Africa Regional Department, DFID Southern Africa","Number of people reached with humanitarian assistance (food aid, cash and voucher transfers) through DFID support",2.1a,CUMULATIVE,2015/21,Achieved,Male,No,N/A,N/A,N/A,231557
1001,"Africa Regional Department, DFID Southern Africa","Number of people reached with humanitarian assistance (food aid, cash and voucher transfers) through DFID support",2.1a,CUMULATIVE,2015/21,Achieved,Female,No,N/A,N/A,N/A,280462
1001,"Africa Regional Department, DFID Southern Africa","Number of people reached with humanitarian assistance (food aid, cash and voucher transfers) through DFID support",2.1a,CUMULATIVE,2015/21,Achieved,Unknown,No,N/A,N/A,N/A,917710
1001,"Africa Regional Department, DFID Southern Africa","Number of people reached with humanitarian assistance (food aid, cash and voucher transfers) through DFID support",2.1a,CUMULATIVE,2015/21,Achieved,Total,No,N/A,N/A,N/A,1429729
1001,"Africa Regional Department, DFID Southern Africa","Number of people reached with humanitarian assistance (food aid, cash and voucher transfers) through DFID support",2.1a,CUMULATIVE,2015/21,Achieved,Male,Yes,N/A,N/A,N/A,0
1001,"Africa Regional Department, DFID Southern Africa","Number of people reached with humanitarian assistance (food aid, cash and voucher transfers) through DFID support",2.1a,CUMULATIVE,2015/21,Achieved,Female,Yes,N/A,N/A,N/A,0
1001,"Africa Regional Department, DFID Southern Africa","Number of people reached with humanitarian assistance (food aid, cash and voucher transfers) through DFID support",2.1a,CUMULATIVE,2015/21,Achieved,Unknown,Yes,N/A,N/A,N/A,0
1001,"Africa Regional Department, DFID Southern Africa","Number of people reached with humanitarian assistance (food aid, cash and voucher transfers) through DFID support",2.1a,CUMULATIVE,2015/21,Achieved,Total,Yes,N/A,N/A,N/A,0
1506,"Africa Regional Department, DFID Southern Africa",Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Male,No,N/A,All,N/A,0
1506,"Africa Regional Department, DFID Southern Africa",Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Female,No,N/A,All,N/A,0
1506,"Africa Regional Department, DFID Southern Africa",Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Unknown,No,N/A,All,N/A,0
1506,"Africa Regional Department, DFID Southern Africa",Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Total,No,N/A,All,N/A,0
1506,"Africa Regional Department, DFID Southern Africa",Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Male,Yes,N/A,All,N/A,0
1506,"Africa Regional Department, DFID Southern Africa",Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Female,Yes,N/A,All,N/A,0
1506,"Africa Regional Department, DFID Southern Africa",Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Unknown,Yes,N/A,All,N/A,0
1506,"Africa Regional Department, DFID Southern Africa",Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Total,Yes,N/A,All,N/A,0
1506,"Africa Regional Department, DFID Southern Africa",Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Male,No,N/A,Water,N/A,0
1506,"Africa Regional Department, DFID Southern Africa",Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Female,No,N/A,Water,N/A,0
1506,"Africa Regional Department, DFID Southern Africa",Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Unknown,No,N/A,Water,N/A,0
1506,"Africa Regional Department, DFID Southern Africa",Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Total,No,N/A,Water,N/A,0
1506,"Africa Regional Department, DFID Southern Africa",Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Male,No,N/A,Sanitation,N/A,0
1506,"Africa Regional Department, DFID Southern Africa",Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Female,No,N/A,Sanitation,N/A,0
1506,"Africa Regional Department, DFID Southern Africa",Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Unknown,No,N/A,Sanitation,N/A,0
1506,"Africa Regional Department, DFID Southern Africa",Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Total,No,N/A,Sanitation,N/A,0
1540,Asia Regional Team,Number of additional women and girls using modern methods of family planning,4.2c,CUMULATIVE,2013/14,Achieved,Total,No,N/A,N/A,N/A,122049
1540,Asia Regional Team,Number of additional women and girls using modern methods of family planning,4.2c,CUMULATIVE,2014/15,Achieved,Total,No,N/A,N/A,N/A,174629
1540,Asia Regional Team,Number of additional women and girls using modern methods of family planning,4.2c,CUMULATIVE,2015/16,Achieved,Total,No,N/A,N/A,N/A,90730
1540,Asia Regional Team,Number of additional women and girls using modern methods of family planning,4.2c,CUMULATIVE,2016/17,Achieved,Total,No,N/A,N/A,N/A,10466
1540,Asia Regional Team,Number of additional women and girls using modern methods of family planning,4.2c,CUMULATIVE,2017/18,Achieved,Total,No,N/A,N/A,N/A,0
1540,Asia Regional Team,Number of additional women and girls using modern methods of family planning,4.2c,CUMULATIVE,2018/19,Achieved,Total,No,N/A,N/A,N/A,22881
1540,Asia Regional Team,Number of additional women and girls using modern methods of family planning,4.2c,CUMULATIVE,2019/20,Achieved,Total,No,N/A,N/A,N/A,150705
1540,Asia Regional Team,Number of additional women and girls using modern methods of family planning,4.2c,CUMULATIVE,2020/21,Achieved,Total,No,N/A,N/A,N/A,0
1540,Asia Regional Team,Number of additional women and girls using modern methods of family planning,4.2c,CUMULATIVE,2015/21,Achieved,Total,No,N/A,N/A,N/A,571460
1540,Asia Regional Team,Number of total women and girls using modern methods of family planning,4.2c,CUMULATIVE,2013/14,Achieved,Total,No,N/A,N/A,N/A,698104
1540,Asia Regional Team,Number of total women and girls using modern methods of family planning,4.2c,CUMULATIVE,2014/15,Achieved,Total,No,N/A,N/A,N/A,1155143
1540,Asia Regional Team,Number of total women and girls using modern methods of family planning,4.2c,CUMULATIVE,2015/16,Achieved,Total,No,N/A,N/A,N/A,1345310
1540,Asia Regional Team,Number of total women and girls using modern methods of family planning,4.2c,CUMULATIVE,2016/17,Achieved,Total,No,N/A,N/A,N/A,1468999
1540,Asia Regional Team,Number of total women and girls using modern methods of family planning,4.2c,CUMULATIVE,2017/18,Achieved,Total,No,N/A,N/A,N/A,1425730
1540,Asia Regional Team,Number of total women and girls using modern methods of family planning,4.2c,CUMULATIVE,2018/19,Achieved,Total,No,N/A,N/A,N/A,110413
1540,Asia Regional Team,Number of total women and girls using modern methods of family planning,4.2c,CUMULATIVE,2019/20,Achieved,Total,No,N/A,N/A,N/A,548608
1540,Asia Regional Team,Number of total women and girls using modern methods of family planning,4.2c,CUMULATIVE,2020/21,Achieved,Total,No,N/A,N/A,N/A,0
1540,Asia Regional Team,Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Male,No,All,N/A,N/A,0
1540,Asia Regional Team,Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Female,No,All,N/A,N/A,0
1540,Asia Regional Team,Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Unknown,No,All,N/A,N/A,0
1540,Asia Regional Team,Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Total,No,All,N/A,N/A,0
1540,Asia Regional Team,Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Male,Yes,All,N/A,N/A,0
1540,Asia Regional Team,Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Female,Yes,All,N/A,N/A,0
1540,Asia Regional Team,Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Unknown,Yes,All,N/A,N/A,0
1540,Asia Regional Team,Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Total,Yes,All,N/A,N/A,0
1540,Asia Regional Team,Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Male,No,Pre-primary,N/A,N/A,0
1540,Asia Regional Team,Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Female,No,Pre-primary,N/A,N/A,0
1540,Asia Regional Team,Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Unknown,No,Pre-primary,N/A,N/A,0
1540,Asia Regional Team,Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Total,No,Pre-primary,N/A,N/A,0
1540,Asia Regional Team,Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Male,No,Primary,N/A,N/A,0
1540,Asia Regional Team,Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Female,No,Primary,N/A,N/A,0
1540,Asia Regional Team,Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Unknown,No,Primary,N/A,N/A,0
1540,Asia Regional Team,Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Total,No,Primary,N/A,N/A,0
1540,Asia Regional Team,Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Male,No,Secondary,N/A,N/A,0
1540,Asia Regional Team,Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Female,No,Secondary,N/A,N/A,0
1540,Asia Regional Team,Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Unknown,No,Secondary,N/A,N/A,0
1540,Asia Regional Team,Number of children supported to gain a decent education,4.1c,PEAK,2015/21,Achieved,Total,No,Secondary,N/A,N/A,0
1540,Asia Regional Team,Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Male,No,N/A,All,N/A,0
1540,Asia Regional Team,Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Female,No,N/A,All,N/A,0
1540,Asia Regional Team,Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Unknown,No,N/A,All,N/A,0
1540,Asia Regional Team,Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Total,No,N/A,All,N/A,0
1540,Asia Regional Team,Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Male,Yes,N/A,All,N/A,0
1540,Asia Regional Team,Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Female,Yes,N/A,All,N/A,0
1540,Asia Regional Team,Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Unknown,Yes,N/A,All,N/A,0
1540,Asia Regional Team,Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Total,Yes,N/A,All,N/A,0
1540,Asia Regional Team,Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Male,No,N/A,Water,N/A,0
1540,Asia Regional Team,Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Female,No,N/A,Water,N/A,0
1540,Asia Regional Team,Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Unknown,No,N/A,Water,N/A,0
1540,Asia Regional Team,Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Total,No,N/A,Water,N/A,0
1540,Asia Regional Team,Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Male,No,N/A,Sanitation,N/A,0
1540,Asia Regional Team,Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Female,No,N/A,Sanitation,N/A,0
1540,Asia Regional Team,Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Unknown,No,N/A,Sanitation,N/A,0
1540,Asia Regional Team,Number of people with sustainable access to clean water and/or sanitation through DFID support,4.1e,CUMULATIVE,2015/21,Achieved,Total,No,N/A,Sanitation,N/A,0
1540,Asia Regional Team,"Number of children under 5, women (of childbearing age) and adolescent girls reached by DFID through nutrition related interventions",4.1d,PEAK,2015/21,Achieved,Male,No,N/A,N/A,All,0
1540,Asia Regional Team,"Number of children under 5, women (of childbearing age) and adolescent girls reached by DFID through nutrition related interventions",4.1d,PEAK,2015/21,Achieved,Female,No,N/A,N/A,All,0
1540,Asia Regional Team,"Number of children under 5, women (of childbearing age) and adolescent girls reached by DFID through nutrition related interventions",4.1d,PEAK,2015/21,Achieved,Unknown,No,N/A,N/A,All,0
1540,Asia Regional Team,"Number of children under 5, women (of childbearing age) and adolescent girls reached by DFID through nutrition related interventions",4.1d,PEAK,2015/21,Achieved,Total,No,N/A,N/A,All,0
1540,Asia Regional Team,"Number of children under 5, women (of childbearing age) and adolescent girls reached by DFID through nutrition related interventions",4.1d,PEAK,2015/21,Achieved,Male,Yes,N/A,N/A,All,0
1540,Asia Regional Team,"Number of children under 5, women (of childbearing age) and adolescent girls reached by DFID through nutrition related interventions",4.1d,PEAK,2015/21,Achieved,Female,Yes,N/A,N/A,All,0
1540,Asia Regional Team,"Number of children under 5, women (of childbearing age) and adolescent girls reached by DFID through nutrition related interventions",4.1d,PEAK,2015/21,Achieved,Unknown,Yes,N/A,N/A,All,0
1540,Asia Regional Team,"Number of children under 5, women (of childbearing age) and adolescent girls reached by DFID through nutrition related interventions",4.1d,PEAK,2015/21,Achieved,Total,Yes,N/A,N/A,All,0
1540,Asia Regional Team,"Number of children under 5, women (of childbearing age) and adolescent girls reached by DFID through nutrition related interventions",4.1d,PEAK,2015/21,Achieved,Male,No,N/A,N/A,High,0
1540,Asia Regional Team,"Number of children under 5, women (of childbearing age) and adolescent girls reached by DFID through nutrition related interventions",4.1d,PEAK,2015/21,Achieved,Female,No,N/A,N/A,High,0
